Тип	Имя (RU)	Файл картинки (EN)	Описание (RU)	Промпт для картинки (Brawl Stars style, EN)
СОЮЗНИК	Дворф-щитоносец	allies/dwarf_tank.png	Тяжёлый танк гор: не страшны оглушение и замедление, провокация, пассивный потолок урона за удар. Гора не сдвинется.	Brawl Stars style, stout dwarf shieldbearer, massive shield and horned helm, thick beard, heavy plate cartoon exaggeration, proud stubborn expression, full body, warm metallic colors, plain backdrop
СОЮЗНИК	Дворф-берсерк	allies/dwarf_berserk.png	Дамагер с яростью на низком HP, АоЕ топором и двойными атаками при критическом здоровье. Три кружки эля — и в бой.	Brawl Stars style, dwarf berserker with huge battle-axe, fur shoulder pad, wild grin, glowing rage accent eyes, stocky powerful silhouette, fantasy barbarian dwarf, full body, vivid colors, simple background
СОЮЗНИК	Гном-инженер	allies/dwarf_engineer.png	Арбалетчик-изобретатель: усиленный выстрел и автотурель на поле боя. Паровая пушка и шестерёнки в эстетике.	Brawl Stars style, dwarf engineer crossbow sharpshooter with goggles, leather apron, steampunk crossbow and gadget belt, playful inventor vibe, chunky proportions, full body, light background
СОЮЗНИК	Дворфийский шаман	allies/dwarf_shaman.png	Баффер стихии камня: каменная кожа, благословение горна для воинов, землетрясение по врагам. Горы слышат его молитвы.	Brawl Stars style, dwarf shaman with stone rune staff, crystal jewelry, earth glow runes, sturdy robe armor, wise stern face, full body, brown and amber palette, plain background
СОЮЗНИК	Дворф-арбалетчик	allies/dwarf_crossbow.png	Тяжёлый арбалет: пробивающий и дробящий болты на кулдаунах. Считает болты поштучно.	Brawl Stars style, dwarf heavy crossbow unit, reloading pose, reinforced pauldrons, tactical squint, industrial fantasy gear, full body, bold shapes, light gray studio backdrop
СОЮЗНИК	Орк-воин	allies/orc_warrior.png	Ближний дамагер орды: растущая атака от потерь HP, клич для орков и гоблинов, рубящий АоЕ по первой колонке. Бьёт чтобы жить.	Brawl Stars style, green orc warrior brawler, studded leather and tusks, big sword, aggressive playful expression, muscular cartoon body, fantasy orc hero not horror, full body, bright warpaint, simple background
СОЮЗНИК	Орк-берсерк танк	allies/orc_tank.png	Танк с поглощением части урона, страхом для фронта и орочьим усилением союзников. Шкура толще доспехов.	Brawl Stars style, huge orc tank bruiser, spiked shoulder armor, scarred green skin, intimidating grin, shield optional brutality focus, stocky powerhouse silhouette, full body, saturated colors, plain backdrop
СОЮЗНИК	Орк-шаман	allies/orc_shaman.png	Поддержка ритуалами: усиление атаки, тотем лечения, призыв волчьего духа. Изгнанник с духами предков.	Brawl Stars style, orc shaman with bone talismans and tribal paint, glowing totem staff, mystical green purple magic, friendly-shaman personality not evil, full body, cartoon mobile game, light background
СОЮЗНИК	Гоблин-боец	allies/goblin_warrior.png	Быстрый берсерк: накапливает атаку за убийства, яд на клинке, дополнительная атака после фрага. Маленький, злой, быстрый.	Brawl Stars style, small goblin melee fighter big knife, oversized weapon comedy, sneaky yellow eyes, ragged green skin, dynamic leap pose, vibrant colors, full body, plain light background
СОЮЗНИК	Гоблин-лучник	allies/goblin_archer.png	Тройной залп с ослабленными одиночными стрелами, бонус по почти полным целям, мощный залп в одну цель. Стреляет часто.	Brawl Stars style, goblin archer with short bow three arrows ready, mischievous grin, patched armor, big ears, fast skirmisher vibe, full body, cartoon proportions, simple background
СОЮЗНИК	Скелет-воин	allies/skeleton_warrior.png	Нежить-боец: иммунитет яду и кровотечению, проклятый клинок снижает защиту. Кто-то поднял его — ему все равно кто.	Brawl Stars style, cute-anime-leaning skeleton knight, glowing eye sockets, cracked bone armor accent, stylized not scary, fantasy undead ally, sword pose, full body, bold purple and bone white, light backdrop
СОЮЗНИК	Скелет-лучник	allies/skeleton_archer.png	Стрелок-нежить с костяными стрелами и улучшенной дальностью. Кости не устают.	Brawl Stars style, skeleton archer ranger, tattered cloak, bone bow, playful rattling warrior design, not horror cute Brawl-like undead, full body, clean silhouette, plain background
СОЮЗНИК	Рыцарь смерти	allies/death_knight_ally.png	Танк-нежить с аурой страха, похищением жизни и одноразовым воскрещением. Бывший герой — теперь сильнее.	Brawl Stars style, chibi-heavy death knight hero, dark trimmed armor glowing blue soul accents, imposing but collectible character vibe, cape, rune greatsword, full body, dramatic rim light, gray background
СОЮЗНИК	Лич	allies/lich_ally.png	Маг-лич с лучом смерти, костяным щитом и массовым проклятием; филактерий спасает один раз. Отказался умирать.	Brawl Stars style, stylized lich sorcerer crown horns, purple black robes ornate, floating spell book or orb, magical smoke, iconic villain-to-hero cute proportions, full body, plain misty background
СОЮЗНИК	Некромант	allies/necromancer_ally.png	Дебаффер и тёмный маг: проклятия, теневые снаряды, краткий призыв скелета, метка смерти для низкого HP. Смерть — оружие.	Brawl Stars style, young necromancer antihero with hood skull trim, shadow wisps hands, cool purple glow, edgy but family-friendly mobile design, staff with soul gem, full body, light fog background
СОЮЗНИК	Волк-охотник	allies/wolf.png	Зверь-дамагер: стайные бонусы, двойной первый ход, вой для зверей-союзников. Принял людей как стаю.	Brawl Stars style, anthropomorphic battle wolf hero or armored dire wolf, friendly fierce eyes, battle harness, dynamic howl pose, saturated blue gray fur, full body, cartoon mobile game, simple background
СОЮЗНИК	Медведь-страж	allies/bear.png	Медведь-танк: рёв ослабляет врагов, толстая шкура гасит урон, спячка восстанавливает HP. Три охотника пытались поймать.	Brawl Stars style, huge armored grizzly guardian bear standing, tribal pauldrons optional, gentle hero eyes, roar FX subtle, chunky cute dangerous, full body, forest brown palette, plain light backdrop
СОЮЗНИК	Охотник	allies/ohotnik.png	Человек-лучник против зверей и с капканом на инициативу. Зверей знает лучше людей.	Brawl Stars style, human hunter with practical leather hat, hunting bow, trophy charms belt, tracker focus squint, fantasy woodsman, full body, warm earth tones, light background
СОЮЗНИК	Кабан-таран	allies/boar.png	Зверь-таран: шанс оглушения тараном, иммунитет к яду. Таранит первым.	Brawl Stars style, armored war boar mount-sized beast warrior, metal nose ring armor plates, aggressive but cartoonish, dust charge pose, full body, bold oranges browns, simple studio background
СОЮЗНИК	Орёл-разведчик	allies/eagle.png	Птица-лучник с дальним прицелом, кровотечением из когтей и пикированием. Вид сверху меняет бой.	Brawl Stars style, anthropomorphic eagle archer or bird ranger with compact bow, white head golden beak, goggles wind vibe, wings folded stylish, full body, sky blue accents, plain light background
СОЮЗНИК	Огненная лиса	allies/fire_fox.png	Магический зверёк огня: уклонение, огненный хвост и залпы пламени. Дух огня в облике лисы.	Brawl Stars style, adorable magical fire fox kitsune sparks, flaming tail tips, ember particles, sly smirk, small caster creature hero scale, full body, orange red gradient, light background
СОЮЗНИК	Лесная фея	allies/fairy.png	Целитель-фея: пыльца сна, лечение природой и круг фей. Не называть маленькой.	Brawl Stars style, tiny fairy healer with dragonfly wings enlarged for hero readability, sparkle wand, flower dress, mischievous cute expression, pastel glow, full body floating pose, plain soft background
СОЮЗНИК	Единорог	allies/unicorn.png	Могущественный целитель: священный свет, аура против ядов и удар рога. Последний единорог решил помочь.	Brawl Stars style, majestic cartoon unicorn knight-princess vibe armored sections, glowing spiral horn, rainbow mane subtle not loud, noble eyes, heal sparkle aura, full body, fantasy epic cute, light background
СОЮЗНИК	Голем-страж	allies/stone_golem_ally.png	Каменный танк-конструкт: иммунитет контролю, сейсмический удар. Создан гномами давным-давно.	Brawl Stars style, friendly stone golem guardian, moss cracks glowing rune seams, big rounded boulder fists, ancient dwarven build, collectible hero toy look, full body, tan gray stone, simple backdrop
СОЮЗНИК	Дракончик	allies/dragon_hatchling.png	Молодой дракон с огненным дыханием, рёвом страха и усиленной чешуёй. Ещё не дракон — уже не яйцо, злится об этом.	Brawl Stars style, cute young dragon hero, small wings big head, emerald or red scales, tiny smoke nostrils, cocky attitude, full body, brawler proportions, plain light background
СОЮЗНИК	Дух огня	allies/fire_spirit.png	АоЕ маг огня: волны и поджоги, шторм с горением, иммунитет к огню. Огонь обрёл форму.	Brawl Stars style, fire elemental spirit humanoid, flame hair, molten core chest glow, playful destructive smile, stylized cartoon fire FX, full body, warm palette, neutral gray floor background
СОЮЗНИК	Дух воды	allies/water_spirit.png	Хилер воды: волны лечения, очищение дебаффов, прилив. Вода смывает проклятия.	Brawl Stars style, water elemental humanoid sleek, teardrop shapes, translucent blue body armor mix, calm healing glow, drip splash accents, full body, Brawl-styled glossy materials, light background
СОЮЗНИК	Дух ветра	allies/wind_spirit.png	Дебаффер скорости: порывы, торнадо с оглушением, стена ветра от дальнего урона. Самый быстрый в отряде.	Brawl Stars style, wind spirit agile ninja mage, swirly white green trails, scarf tornado FX, light airy armor, hyper cheerful eyes, full body leap pose, minimal background
СОЮЗНИК	Дух земли	allies/earth_spirit.png	Танк из камня и магии: стена защиты для союзников, толчок земли по фронту, неподвижен как гора.	Brawl Stars style, earth golem spirit hybrid covered in crystal spines, rooted stance dust ripple, kind stone face, brown jade palette, full body, mobile RPG hero, plain backdrop
СОЮЗНИК	Дух тени	allies/shadow_spirit.png	Убийца из теней: внезапный усиленный удар, фазовая неуязвимость, клон тени. Тень не видна пока не поздно.	Brawl Stars style, shadow ninja spirit masked, purple black smoky cloak, glowing edge daggers, edgy sleek silhouette, friendly-enemy antihero vibe, full body, high contrast, light mist background
СОЮЗНИК	Ученик огня	allies/uchenik_ognya.png	Человек-маг огня: вспышки по всем врагам, огненный шар, столб по передней колонке. Отчислен за поджог столов — теперь жжёт только врагов.	Brawl Stars style, young fire mage student, soot on face cute, oversized fireball charging, red orange robe, excited expression, fantasy cartoon, full body, bright rim light, plain background
СОЮЗНИК	Электрик	allies/elektrik.png	Маг молний: разряд, цепная молния, паралич, шаровая молния. Любит грозу с детства.	Brawl Stars style, human lightning mage with spiky hair static, yellow blue arcs, tech-magic gloves optional, grinning reckless energy, full body, saturated electric palette, simple background
СОЮЗНИК	Тёмная ведьма	allies/dark_witch.png	Дебаффер: порча, тёмный снаряд, рок и тёмная форма на низком HP. Тьма питает силу.	Brawl Stars style, dark witch sorceress stylish hat, purple black dress cute proportions, floating hex symbols, playful menace smile, full body, fantasy mage villain ally, light fog background
СОЮЗНИК	Ледяной маг	allies/ice_mage.png	Маг льда и контроля: ледяная стрела, метель снижает инициативу, взрыв по первой колонке; не боится холода. Сдерживает армии метелью.	Brawl Stars style, ice mage with blue white robes crystal shoulder pads, frost breath hints, sharp confident eyes, icicle staff, cartoon chilly particles, full body, cool cyan palette, simple light background
СОЮЗНИК	Тёмный разведчик	allies/shadow_rogue.png	Убийца ближнего боя: первый удар из тени усилен, яд на клинке, казнь низкохп-цели раз за бой. Имя неизвестно — цена известна.	Brawl Stars style, sleek human rogue assassin dual daggers, half mask hood, purple black leather, ruthless smirk still cartoony, dynamic stab pose, full body, edgy mobile hero, plain backdrop
ВРАГ	Крыса	enemies/rat.png	Лесная тварь: быстрая ближняя атака по самому ранимому. Обычная угроза подземелий и свалок.	Brawl Stars style, giant cartoon sewer rat monster slightly cute, buck teeth, scruffy fur, aggressive pose, fantasy mob enemy, full body, bold colors, plain light gray background
ВРАГ	Огромная крыса	enemies/large_rat.png	Крыса побольше: бьёт по переднему ряду, иногда наносит дополнительный урон грызнёй.	Brawl Stars style, huge chunky rat brawler enemy, scars, mean glowing eyes small, stylized proportions, full body, mobile game critter boss vibe, simple backdrop
ВРАГ	Паук	enemies/spider.png	Ядовитый укус с шансом дота-урона. Классический враг тёмных углов.	Brawl Stars style, big cartoon spider enemy colorful markings, shiny eyes, venom drip exaggerated cute-creepy, fantasy arachnid, full body top-down friendly readability, plain background
ВРАГ	Змея	enemies/snake.png	Быстрая змея с уклонением от части ударов; давит на фронт.	Brawl Stars style, anthropomorphic cobra bandit snake or giant serpent coil strike pose, patterned scales, sly expression stylized, full body, bright jungle colors, light background
ВРАГ	Гадюка	enemies/viper.png	Усиленный укус с более частым сильным ядом.	Brawl Stars style, viper snake enemy thicker body venom green glow fangs, hood flare, dynamic lunge, cartoon venomous mob, full body, plain backdrop
ВРАГ	Бандит с дубиной	enemies/bandit_club.png	Разбойник ближнего боя, атакует передний ряд.	Brawl Stars style, burly human bandit with club rough leather armor, eyepatch optional, mean grin cartoon, outlaw thug, full body, warm browns, simple background
ВРАГ	Бандит-лучник	enemies/bandit_bow.png	Дальнобойный бандит, целится в самого уязвимого.	Brawl Stars style, slim human bandit archer hood, crooked bow, quiver messy, sneaky smile, forest rogue enemy, full body, muted green brown, light backdrop
ВРАГ	Гипнотизёр	enemies/hypnotist.png	Маг с контролем: оцепенение цели магией. Бьёт по слабым звеньям отряда.	Brawl Stars style, eerie human hypnotist mage swinging pendulum, spiral eyes FX, dark robes but cute proportions, villain caster, full body, purple hypnotic glow, plain background
ВРАГ	Капитан бандитов	enemies/bandit_captain.png	Усиленный командир разбойников с боевым кличом и высокой атакой.	Brawl Stars style, armored bandit captain with plume helm, notched sword, confident villain pose, elite human enemy, full body, saturated metals, simple studio background
ВРАГ	Атаман Кровавый Кулак	enemies/bandit_warlord.png	Босс бандитов: сокрушительные удары и ярость на половине HP.	Brawl Stars style, towering human warlord boss, blood red fist wraps huge hands, battle scars, intimidating grin exaggerated, fantasy crime boss brawler, full body epic stance, dramatic rim light, gray backdrop
ВРАГ	Тролль	enemies/troll.png	Тяжёлый фронт с регенерацией каждый ход.	Brawl Stars style, green troll brute thick club moss skin, dumb-mean expression cartoony, regen faint green aura, full body, bold greens, light background
ВРАГ	Горный бандит	enemies/mountain_bandit.png	Агрессивный рубака — целит самых ранимых.	Brawl Stars style, rugged mountain bandit dual axes or heavy sword, fur cloak, windburnt face, wild hair, full body, stone gray accents, plain backdrop
ВРАГ	Скелет	enemies/skeleton.png	Нежить ближнего боя: сопротивление яду и горению.	Brawl Stars style, skeleton swordsman enemy rusted shield, hollow eyes pink glow cute style, dungeon minion, full body, bone white, simple background
ВРАГ	Скелет-лучник	enemies/skeleton_archer.png	Стрелок-нежить с дальним огнём по слабым целям.	Brawl Stars style, skeleton archer tattered cloak creaking bow, playful spooky not horror, full body, teal accents, light backdrop
ВРАГ	Призрак	enemies/ghost.png	Маг с фазовым уклонением и поглощением души.	Brawl Stars style, floating ghost wraith humanoid sheet torn cute cyclops eye or oval eyes glow, wispy tail, spell hands, undead caster enemy, full body, pale blue, mist background
ВРАГ	Тёмный маг	enemies/dark_mage.png	АоЕ и проклятия по одиночным целям, давит магией с тылу.	Brawl Stars style, dark robed wizard enemy hood shadow face purple bolts, sarcastic pose staff, cartoon villain mage, full body, deep violet, plain fog
ВРАГ	Страж Храма	enemies/temple_guardian.png	Босс-голем храма: каменная шкура и периодическое оглушение первой колонки.	Brawl Stars style, massive stone temple guardian golem boss, mossy runes cracked statue face, ancient idol aesthetic, full body imposing collectible boss toy, teal stone, spotlight backdrop
ВРАГ	Орк	enemies/orc.png	Обычный орк-боец фронта без особых способностей.	Brawl Stars style, green orc grunt enemy tusks studded armor, angry silly expression, axe raised, fantasy horde soldier, full body, vibrant warpaint, simple background
ВРАГ	Шаман орков	enemies/orc_shaman.png	Бафф/проклятье: ослабляет врагов магией с тыла.	Brawl Stars style, orc shaman enemy bone staff glowing skulls, tribal mask, cackling cartoon, purple green magic, full body, light backdrop
ВРАГ	Тёмный рыцарь	enemies/dark_knight.png	Тёмный танк с аурой, снижающей атаку врагов на переднем ряду.	Brawl Stars style, black knight undead plate armor red eye slits towering greatsword, menacing but stylized brawler villain, full body cape, smoke rim light, gray background
ВРАГ	Каменный голем	enemies/stone_golem.png	Неподвижный тяжёлый танк: устойчив к контролю и сдвигам.	Brawl Stars style, stone golem enemy blocky joints cracks glowing core, slow brute silhouette, fantasy dungeon construct, full body tan gray, plain backdrop
ВРАГ	Вождь троллей	enemies/troll_chief.png	Сильнее обычного тролля с усиленной регенерацией.	Brawl Stars style, troll chieftain crown bones bigger muscles, mean grin slime drool cartoony, regen aura, full body, dark green, simple background
ВРАГ	Командир крепости	enemies/fortress_commander.png	Босс: ярость на низком HP и тактический удар с пробитием защиты.	Brawl Stars style, human fortress commander boss decorated armor medal sash, commanding shout pose, veteran villain leader, full body epic, saturated gold trim, dramatic light backdrop
ВРАГ	Рыцарь смерти	enemies/death_knight.png	Нежить-танк: шанс яда от ауры смерти при ударах.	Brawl Stars style, death knight enemy frost black armor skull helm soul wisps, imposing villain tank, full body, blue black glow, misty background
ВРАГ	Вампир	enemies/vampire.png	Быстрый убийца с вампиризмом от нанесённого урона.	Brawl Stars style, aristocrat vampire rogue pale skin slick hair red eyes cute fangs, cloak flourish, edgy fast killer enemy, full body, crimson black, plain light fog
ВРАГ	Лич	enemies/lich.png	Могущественный маг-лич с лучом смерти и массовыми проклятиями; баффает нежить рядом.	Brawl Stars style, lich boss skinny robed crown huge glowing eyes floating ribs phylactery glow, arcane villain centerpiece, full body, purple black gold, dark mist backdrop
ВРАГ	Послушник некроманта	enemies/necromancer_acolyte.png	Ученик тьмы: теневые заряды по одной цели. Бьёт с тыла магией.	Brawl Stars style, hooded necromancer acolyte trainee jittery holding shadow orb, nervous evil cute, dark purple robes, full body, simple gray background
ВРАГ	Некромант Морт	enemies/necromancer.png	Финальный босс: чума по всем, буря душ, самолечение и усиление магии на низком HP.	Brawl Stars style, ultimate necromancer lich boss Mort ornate robes skull pauldrons massive staff green soul fire dramatic pose, epic final boss presence still Supercell cartoon proportions, full body, dark throne mist vignette soft neutral floor
